id ,Nombre del Proyecto                   ,Descripción                                                                       ,Fecha de inicio ,Fecha de Fin ,Presupuesto ,Estado
 1 ,Plataforma de Gestión Empresarial     ,Sistema de gestión de recursos empresariales para mejorar la eficiencia operativa ,13-10-2023      ,17-04-2025   ,   42931805 ,Activo
 2 ,Sistema de Planificación de Recursos  ,Desarrollo de un sistema avanzado de planificación de recursos empresariales      ,17-07-2023      ,18-05-2025   ,  642055083 ,Activo
 3 ,Sistema de Información Epidemiológica ,Plataforma para el seguimiento y análisis de datos epidemiológicos                ,14-06-2023      ,02-02-2024   ,  850312588 ,Cancelado
 4 ,Red de Transporte Público             ,Mejora y ampliación de la infraestructura de transporte público                   ,30-03-2023      ,24-07-2023   ,  937383174 ,Finalizado
 5 ,Royal Guard Tales                     ,La mejor obra de ficción jamas creada.                                            ,06-06-2021      ,03-02-2030   ,  149912234 ,Activo
 6 ,Laboratorio de Microbiología          ,Investigación y desarrollo en microbiología aplicada                              ,13-07-2023      ,07-10-2025   ,  325746996 ,Activo
 7 ,Planificación de Sucesión             ,Desarrollo de un sistema para la planificación de la sucesión en empresas         ,01-01-2023      ,20-05-2023   ,  231786436 ,Cancelado
 8 ,Sistema de Gestión de Documentos      ,Desarrollo de un sistema para la gestión y archivo de documentos                  ,06-09-2023      ,19-05-2023   ,   65296214 ,Finalizado
 9 ,Investigación de Trastornos del Sueño ,Estudio y tratamiento de diversos trastornos del sueño                            ,23-05-2023      ,03-08-2023   ,  555060646 ,Finalizado
10 ,Sistema de Incendios Extremo          ,Desarrollo de un sistema avanzado de prevención y control de incendios            ,14-02-2023      ,03-04-2023   ,  240045465 ,Cancelado
11 ,proyecto prueba 1                     ,prueba 1                                                                          ,14-02-2009      ,03-04-2011   ,  240045465 ,Finalizado
12 ,proyecto prueba 2                     ,prueba 2                                                                          ,14-02-2011      ,03-04-2012   ,  240045465 ,Finalizado
13 ,proyecto prueba 3                     ,prueba 3                                                                          ,14-12-2019      ,03-04-2019   ,  240045465 ,Finalizado
14 ,proyecto prueba 4                     ,prueba 4                                                                          ,31-12-2013      ,03-04-2016   ,  240045465 ,Activo
15 ,proyecto prueba 5                     ,prueba 5                                                                          ,01-01-2011      ,03-04-2012   ,  240045465 ,Activo
16 ,proyecto prueba 6                     ,prueba 6                                                                          ,01-06-2019      ,03-04-2019   ,  240045465 ,Activo
